,index,ch1mean,ch1std,ch1median,ch1rme,ch2mean,ch2std,ch2median,ch2rme,ch3mean,ch3std,ch3median,ch3rme,ch4mean,ch4std,ch4median,ch4rme,ch5mean,ch5std,ch5median,ch5rme,ch6mean,ch6std,ch6median,ch6rme,ch7mean,ch7std,ch7median,ch7rme,ch8mean,ch8std,ch8median,ch8rme,ch9mean,ch9std,ch9median,ch9rme,ch10mean,ch10std,ch10median,ch10rme,label
0,0,9.99,11.800983009902184,4.68,14.533088453594438,2.626,0.1928211606644872,2.6,2.6316572725185927,1.326,0.23255106965997813,1.3,1.342214587910592,2.7819999999999996,0.1162755348299889,2.86,2.7839432465479605,3.12,0.09192388155425117,3.12,3.1210831453199064,3.432,0.07120393247567168,3.38,3.4325908582293927,3.9,0.09192388155425132,3.9,3.9008665703917633,3.7439999999999998,0.058137767414994566,3.77,3.7443610936980956,2.86,0.0,2.86,2.86,2.8859999999999997,0.05813776741499463,2.86,2.8864684304526875,0
1,1,4.7059999999999995,0.05813776741499446,4.68,4.70628728404886,2.652,0.1482228052628877,2.6,2.6553116577908513,1.3,0.20554804791094475,1.3,1.3129356419870701,2.808,0.11627553482998895,2.86,2.8099252659101097,3.1719999999999997,0.07120393247567168,3.12,3.172639279842573,3.4579999999999997,0.0712039324756715,3.51,3.4585864164424165,3.9520000000000004,0.07120393247567179,3.9,3.95251312458289,3.7700000000000005,0.0,3.77,3.77,2.86,0.0,2.86,2.86,2.86,0.0,2.86,2.86,0
2,2,4.7059999999999995,0.05813776741499421,4.68,4.70628728404886,2.6000000000000005,0.15921683328090636,2.6,2.6038970793792906,1.2479999999999998,0.14822280526288792,1.3,1.2550219121593058,2.86,0.0,2.86,2.86,3.1719999999999997,0.0712039324756715,3.12,3.172639279842573,3.4839999999999995,0.058137767414994566,3.51,3.484388038092198,3.9519999999999995,0.07120393247567182,3.9,3.95251312458289,3.7439999999999998,0.05813776741499453,3.77,3.744361093698096,2.834,0.05813776741499453,2.86,2.8344770240734003,2.86,0.0,2.86,2.86,0
3,3,4.68,0.0,4.68,4.68,2.678,0.23615672761960438,2.6,2.6863171815703373,1.3,0.2055480479109446,1.3,1.3129356419870701,2.808,0.11627553482998894,2.86,2.8099252659101093,3.1720000000000006,0.07120393247567154,3.12,3.172639279842573,3.5099999999999993,0.0,3.51,3.51,3.978,0.07120393247567178,4.03,3.978509771258581,3.7440000000000007,0.05813776741499445,3.77,3.744361093698096,2.834,0.05813776741499445,2.86,2.8344770240734003,2.886,0.058137767414994636,2.86,2.886468430452687,0
4,4,4.601999999999999,0.17441330224498336,4.68,4.604643308661378,2.704,0.26642071991494953,2.6,2.7144796923167434,1.456,0.3364966567441644,1.43,1.4867817593715629,2.782,0.11627553482998898,2.86,2.7839432465479605,3.1460000000000004,0.10876580344942967,3.12,3.1475037728333226,3.4839999999999995,0.05813776741499453,3.51,3.4843880380921983,3.9519999999999995,0.07120393247567182,3.9,3.95251312458289,3.718,0.07120393247567149,3.77,3.718545414540476,2.8339999999999996,0.058137767414994504,2.86,2.8344770240734003,2.912,0.07120393247567175,2.86,2.91269634531305,0
5,5,4.4719999999999995,0.2992824752637544,4.68,4.48000446428349,2.7300000000000004,0.26,2.73,2.7398868589779397,1.612,0.26957373759326037,1.56,1.629932513940378,2.73,0.12999999999999998,2.73,2.7324750685047428,3.068,0.148222805262888,3.12,3.0708630708646063,3.406,0.16949926253526887,3.51,3.409372376259302,3.9260000000000006,0.10876580344942978,3.9,3.927205113054321,3.6659999999999995,0.10876580344942988,3.64,3.6672905529832236,2.8339999999999996,0.058137767414994566,2.86,2.8344770240734003,2.938,0.07120393247567187,2.99,2.938690184418902,0
6,6,4.316,0.3607353600633016,4.29,4.328043437859653,2.652,0.3856423213289744,2.73,2.6743373010897487,1.56,0.33143626838353096,1.56,1.587916874398657,2.678,0.1162755348299889,2.6,2.6800186566514794,3.0420000000000003,0.11627553482998912,3.12,3.043777258604841,3.354,0.1694992625352687,3.38,3.357424608237689,3.9,0.09192388155425125,3.9,3.9008665703917633,3.6660000000000004,0.10876580344942995,3.64,3.6672905529832236,2.8339999999999996,0.058137767414994566,2.86,2.8344770240734003,2.964,0.05813776741499479,2.99,2.9644561052577587,0
7,7,4.108,0.3964467177313991,4.03,4.123275397059963,2.6260000000000003,0.40488269906233326,2.73,2.6508526930027627,1.5859999999999999,0.31037074604414644,1.56,1.6101117973606678,2.652,0.07120393247567153,2.6,2.6527645956624197,3.0420000000000003,0.11627553482998922,3.12,3.043777258604841,3.354,0.16949926253526865,3.38,3.3574246082376886,3.9,0.09192388155425114,3.9,3.9008665703917633,3.6659999999999995,0.10876580344942988,3.64,3.6672905529832236,2.86,0.0,2.86,2.86,2.99,0.0,2.99,2.99,0
8,8,4.056,0.3103707460441463,4.03,4.0654889004890915,2.496,0.360735360063302,2.34,2.516767768388653,1.5599999999999998,0.31843366656181327,1.43,1.5857868709255982,2.652,0.07120393247567154,2.6,2.6527645956624197,2.9899999999999998,0.13000000000000014,2.99,2.9922600154398347,3.3019999999999996,0.1482228052628878,3.25,3.304660345633118,3.874,0.058137767414994566,3.9,3.874348977570296,3.6660000000000004,0.10876580344942985,3.64,3.6672905529832236,2.834,0.05813776741499453,2.86,2.8344770240734003,2.99,0.0,2.99,2.99,0
9,9,4.108,0.3745263675630863,4.03,4.121635597672361,2.548,0.4559276258355047,2.34,2.580426321366297,1.534,0.2818332840528245,1.43,1.5545738966031817,2.6,0.09192388155425113,2.6,2.6012996751623985,2.938,0.17441330224498372,2.86,2.9421386779008225,3.276,0.14240786495134306,3.25,3.2784752553588077,3.8480000000000003,0.07120393247567153,3.9,3.8485269909408197,3.6659999999999995,0.10876580344943,3.64,3.667290552983224,2.8080000000000003,0.07120393247567144,2.86,2.8087221293677307,2.99,0.0,2.99,2.99,0
